country(HDI),Country Name(GDP/SR),Country Code
,"Macao SAR, China",MAC
Madagascar,Madagascar,MDG
Malawi,Malawi,MWI
Malaysia,Malaysia,MYS
Maldives,Maldives,MDV
Mali,Mali,MLI
Malta,Malta,MLT
Marshall Islands,Marshall Islands,MHL
Mauritania,Mauritania,MRT
Mauritius,Mauritius,MUS
Mexico,Mexico,MEX
Micronesia (Federated States of),"Micronesia, Fed. Sts.",FSM
Moldova (Republic of),Moldova,MDA
,Monaco,MCO
Mongolia,Mongolia,MNG
Montenegro,Montenegro,MNE
Morocco,Morocco,MAR
Mozambique,Mozambique,MOZ
Myanmar,Myanmar,MMR
Namibia,Namibia,NAM
,Nauru,NRU
Nepal,Nepal,NPL
Netherlands,Netherlands,NLD
,New Caledonia,NCL
New Zealand,New Zealand,NZL
Nicaragua,Nicaragua,NIC
Niger,Niger,NER
Nigeria,Nigeria,NGA
North Macedonia,North Macedonia,MKD
,Northern Mariana Islands,MNP
Norway,Norway,NOR
Oman,Oman,OMN
Pakistan,Pakistan,PAK
Palau,Palau,PLW
"Palestine, State of",,
Panama,Panama,PAN
Papua New Guinea,Papua New Guinea,PNG
Paraguay,Paraguay,PRY
Peru,Peru,PER
Philippines,Philippines,PHL
Poland,Poland,POL
Portugal,Portugal,PRT
,Puerto Rico,PRI
Qatar,Qatar,QAT
Romania,Romania,ROU
Russian Federation,Russian Federation,RUS
Rwanda,Rwanda,RWA
Saint Kitts and Nevis,St. Kitts and Nevis,KNA
Saint Lucia,St. Lucia,LCA
Saint Vincent and the Grenadines,St. Vincent and the Grenadines,VCT
Samoa,Samoa,WSM
,San Marino,SMR
Sao Tome and Principe,Sao Tome and Principe,STP
Saudi Arabia,Saudi Arabia,SAU
Senegal,Senegal,SEN
Serbia,Serbia,SRB
Seychelles,Seychelles,SYC
Sierra Leone,Sierra Leone,SLE
Singapore,Singapore,SGP
,Sint Maarten (Dutch part),SXM
Slovakia,Slovak Republic,SVK
Slovenia,Slovenia,SVN
Solomon Islands,Solomon Islands,SLB
,Somalia,SOM
South Africa,South Africa,ZAF
South Sudan,South Sudan,SSD
Spain,Spain,ESP
Sri Lanka,Sri Lanka,LKA
Sudan,Sudan,SDN
,St. Martin (French part),MAF
Suriname,Suriname,SUR
Sweden,Sweden,SWE
Switzerland,Switzerland,CHE
Syrian Arab Republic,Syrian Arab Republic,SYR
Tajikistan,Tajikistan,TJK
Tanzania (United Republic of),Tanzania,TZA
Thailand,Thailand,THA
Timor-Leste,Timor-Leste,TLS
Togo,Togo,TGO
Tonga,Tonga,TON
Trinidad and Tobago,Trinidad and Tobago,TTO
Tunisia,Tunisia,TUN
Turkey,Turkey,TUR
Turkmenistan,Turkmenistan,TKM
,Turks and Caicos Islands,TCA
,Tuvalu,TUV
Uganda,Uganda,UGA
Ukraine,Ukraine,UKR
United Arab Emirates,United Arab Emirates,ARE
United Kingdom,United Kingdom,GBR
United States,United States,USA
Uruguay,Uruguay,URY
Uzbekistan,Uzbekistan,UZB
Vanuatu,Vanuatu,VUT
Venezuela (Bolivarian Republic of),"Venezuela, RB",VEN
Viet Nam,Vietnam,VNM
,Virgin Islands (U.S.),VIR
,West Bank and Gaza,PSE
Yemen,"Yemen, Rep.",YEM
Zambia,Zambia,ZMB
Zimbabwe,Zimbabwe,ZWE
,Africa Eastern and Southern,AFE
,Africa Western and Central,AFW
,Arab World,ARB
,Caribbean small states,CSS
,Central Europe and the Baltics,CEB
,Early-demographic dividend,EAR
,East Asia & Pacific,EAS
,East Asia & Pacific (excluding high income),EAP
,East Asia & Pacific (IDA & IBRD countries),TEA
,Euro area,EMU
,Europe & Central Asia,ECS
,Europe & Central Asia (excluding high income),ECA
,Europe & Central Asia (IDA & IBRD countries),TEC
,European Union,EUU
,Fragile and conflict affected situations,FCS
,Heavily indebted poor countries (HIPC),HPC
,High income,HIC
,IBRD only,IBD
,IDA & IBRD total,IBT
,IDA blend,IDB
,IDA only,IDX
,IDA total,IDA
,Late-demographic dividend,LTE
,Latin America & Caribbean,LCN
,Latin America & Caribbean (excluding high income),LAC
,Latin America & the Caribbean (IDA & IBRD countries),TLA
,Least developed countries: UN classification,LDC
,Low & middle income,LMY
,Low income,LIC
,Lower middle income,LMC
,Middle East & North Africa,MEA
,Middle East & North Africa (excluding high income),MNA
,Middle East & North Africa (IDA & IBRD countries),TMN
,Middle income,MIC
,North America,NAC
,Not classified,INX
,OECD members,OED
,Other small states,OSS
,Pacific island small states,PSS
,Post-demographic dividend,PST
,Pre-demographic dividend,PRE
,Small states,SST
,South Asia,SAS
,South Asia (IDA & IBRD),TSA
,Sub-Saharan Africa,SSF
,Sub-Saharan Africa (excluding high income),SSA
,Sub-Saharan Africa (IDA & IBRD countries),TSS
,Upper middle income,UMC
,World,WLD
